Object,Comp,rms,RA,RAErr,Dec,DecErr,Flux,FluxErr,Maj,MajErr,Min,MinErr,PA,PAErr
g010.8411,A,9.72E-05,19:12.1,0.005,-20:47:30.9880,0.029,0.00475,0.00014,0.955,0.236,0.192,0.072,1.4,20.3
g012.9090,A,6.66E-05,14:39.5,0.0237,-17:51:59.68520,0.1079,0.00149,0.00015,-,-,-,-,-,-
g014.9958,A,8.83E-05,20:19.5,0.0244,-16:13:29.76520,0.0772,0.000909,0.000102,0.342,0.042,0.048,0.156,9.8,3.7
g251.2337,A,3.08E-05,02:43.0,0.0167,-34:31:48.82700,0.0364,0.000538,3.50E-05,0.407,0.0814,0.258,0.0516,154.9,20
g254.0491,A,3.17E-05,15:57.1,0.0626,-36:08:06.03410,0.1605,0.000585,9.50E-05,2.34,0.92,0.27,0.17,164.9,4
g254.0548,C,2.99E-05,17:52.5,0.0408,-35:52:47.61,0.0754,0.000347,3.58E-05,<1.19,-,<0.36,-,-,-
g254.0548,W,2.99E-05,-,-,-,-,<8.97e-5,-,-,-,-,-,-,-
g263.2283,A,3.42E-05,53:09.5,0.0275,-42:13:08.21120,0.0391,0.000698,5.80E-05,0.66,0.088,0.463,0.157,147,37
g263.7434,N,3.14E-05,48:48.5,0.0199,-43:32:23.61190,0.0457,0.000439,5.80E-05,-,-,-,-,-,-
g263.7434,S,3.14E-05,48:48.6,0.01069,-43:32:28.42022,0.02456,0.00101,6.50E-05,0.935,0.142,0.214,0.039,2.5,2.5
g263.7759,A,4.32E-05,46:34.8,0.00806,-43:54:30.23542,0.0134,0.0017,4.70E-05,<0.86,-,<0.11,-,-,-
g263.7759,NW,4.32E-05,46:34.8,0.01367,-43:54:29.35012,0.0211,0.00216,9.80E-05,1.636,0.038,0.34,0.122,141.1,1.5
g265.1438,A,5.02E-05,59:27.4,0.0219,-43:45:03.75060,0.0376,0.000597,8.00E-05,0.624,0.191,0.188,0.167,51,27
g268.3957,,3.00E-05,-,-,-,-,<9e-5,-,-,-,-,-,-,-
g269.1835,,-,-,-,-,-,-,-,-,-,-,-,-,-
g274.0649,A,8.17E-05,,,,,0.0446,0.000445,8.1,,5.1,,,
g274.0649,B,8.17E-05,,,,,0.0353,0.001,4.8,,2.8,,,
g274.0649,C,8.17E-05,,,,,0.0445,0.00143,3.8,,3.8,,,
g274.0649,Core,8.17E-05,24:42.5,0.021,-52:01:50.76980,0.0272,0.00246,0.00018,0.836,0.057,0.076,0.437,168,39
g282.2988,,2.62E-05,-,-,-,-,<7.85e-5,-,-,-,-,-,-,-
g283.9146,,3.17E-05,-,-,-,-,<9.52e-5,-,-,-,-,-,-,-
g284.2438,A,2.91E-05,20:35.1,0.0354,-58:25:06.88280,0.0526,0.000856,0.000119,1.476,0.082,0.83,0.129,11.8,2.8
g284.2438,E,2.91E-05,-,-,-,-,<8.87e-5,-,-,-,-,-,-,-
g286.2086,A,3.09E-05,-,-,-,-,<8.64e-5,-,-,-,-,-,-,-
g286.2086,B,3.09E-05,38:32.1,0.0388,-58:19:08.6032,0.0838,0.0012,0.0001,1.076,0.053,0.647,0.076,17.2,2.7
g286.2086,B2,3.09E-05,38:32.2,0.0833,-58:19:08.6175,0.0444,0.000344,4.30E-05,<0.6,-,<0.32,-,-,-
g287.3716,A,2.78E-05,,,,,0.00169,0.0002,3.3,-,2,-,-,-
g287.8893,,-,-,-,-,-,-,-,-,-,-,-,-,-
