Object,Comp,Image_Notes,Obs_Date,Project,RA,RA_err,Dec,Dec_err,Beam_maj,Beam_min,Beam_PA,Cell_size,N_cells_3sig,Area_3sig_as^2,Area_3sig_sr,RMS,Sum_Flux_3sig,Flux_3sig,Flux_3sig_err,Peak_flux,Flux,Flux_err,Theta_maj,Theta_maj_err,Theta_min,Theta_min_err,Theta_pa,Theta_pa_err
G035.1992-01.7424,HII,UCHII region,29/12/2012,12B-140,19:01:46.50000,PP,01:13:25.0230,PP,0.364,0.289,-20.563,0.075,9688,54.5,1.281E-09,0.000134,43.92,2.07E+00,4.82E-03,0.0207,2.015,0.039,3.86,0.079,3.8,0.078,120,54
G035.1992-01.7424,B,,29/12/2012,12B-140,-,-,-,-,0.364,0.289,-20.563,0.075,-,-,-,3.68E-05,-,-,-,-,-,-,-,-,-,-,-,-
G037.4266+01.5183,A,"~7.5"" to NNW from pc",29/12/2012,12B-140,18:54:13.66426,0.01258,04:41:39.1929,0.01861,0.344,0.307,8.211,0.07,23,0.113,2.649E-12,5.29E-06,0.0005934,2.43E-05,4.26E-05,3.875E-05,3.5E-05,7.9E-06,-,-,-,-,-,-
G037.4266+01.5183,B,"~11"" to NE from pc; Coincident with CH3OH maser",29/12/2012,12B-140,18:54:14.24330,0.0165,04:41:40.8208,0.0131,0.344,0.307,8.211,0.07,29,0.142,3.34E-12,5.29E-06,0.0008666,3.55E-05,4.78E-05,5.045E-05,5.11E-05,9.4E-06,-,-,-,-,-,-
G037.4266+01.5183,C,"~19"" NW from pc",29/12/2012,12B-140,18:54:12.70748,0.00819,04:41:41.6190,0.00904,0.344,0.307,8.211,0.07,42,0.206,4.837E-12,5.29E-06,0.001695,6.94E-05,5.75E-05,8.076E-05,8.21E-05,9E-06,-,-,-,-,-,-
G035.1979-00.7427,5,"2.1"" NNW of pc",29/12/2012,12B-140,18:58:12.93046,0.00318,01:40:39.4345,0.00438,0.369,0.296,-21.436,0.07,75,0.368,8.638E-12,6.43E-06,0.008569,3.39E-04,7.63E-05,0.0003478,0.000354,1.7E-05,<0.066,-,<0.038,-,-,-
G035.1979-00.7427,6,"2.8"" WSW of pc",29/12/2012,12B-140,18:58:12.81485,0.00536,01:40:36.6133,0.00722,0.369,0.296,-21.436,0.07,71,0.348,8.177E-12,6.43E-06,0.005638,2.23E-04,7.42E-05,0.0002244,0.000238,1.7E-05,0.089,0.07,0.016,0.069,136,38
G035.1979-00.7427,7,"1.8"" SE of pc",29/12/2012,12B-140,18:58:13.03365,0.00541,01:40:35.9654,0.00627,0.369,0.296,-21.436,0.07,163,0.799,1.877E-11,6.43E-06,0.02059,8.15E-04,1.12E-04,0.0004587,0.000794,3E-05,0.456,0.024,0.224,0.018,137.1,3.5
G035.1979-00.7427,8,"2.4"" SSE of pc",29/12/2012,12B-140,18:58:13.04057,0.00147,01:40:35.2561,0.00236,0.369,0.296,-21.436,0.07,178,0.872,2.05E-11,6.43E-06,0.04,1.58E-03,1.18E-04,0.001031,0.001433,2.4E-05,0.3139,0.0099,0.1341,0.0148,24.5,2.8
G035.1979-00.7427,Core A,"0.45"" to E of pc",29/12/2012,12B-140,18:58:12.95248,0.0089,01:40:37.3831,0.01399,0.369,0.296,-21.436,0.07,47,0.23,5.413E-12,6.43E-06,0.002431,9.62E-05,6.03E-05,0.0001111,0.000109,1.6E-05,-,-,-,-,-,-
