Object,Comp,Image_Notes,Obs_Date,Project,RA,RA_err,Dec,Dec_err,Beam_maj,Beam_min,Beam_PA,Cell_size,N_cells_3sig,Area_3sig_as^2,Area_3sig_sr,RMS,Sum_Flux_3sig,Flux_3sig,Flux_3sig_err,Peak_flux,Flux,Flux_err,Theta_maj,Theta_maj_err,Theta_min,Theta_min_err,Theta_pa,Theta_pa_err
G035.1992-01.7424,HII,Resolved out emission over wide area,21/03/2014;23/03/2014,14A-092,-,-,-,-,0.051,0.039,-31.1,0.008,-,-,-,3.9E-05,-,-,-,-,-,-,-,-,-,-,-,-
G035.1992-01.7424,B,Isolated compact radio source,21/03/2014;23/03/2014,14A-092,19:01:45.18784,0.00238,01:13:35.3145,0.00262,0.051,0.039,-31.1,0.008,37,0.002368,5.566E-14,3.9E-05,0.007343,0.0002061,3.452E-05,0.0003027,0.000293,6.1E-05,-,-,-,-,-,-
G037.4266+01.5183,A,Non-detection,21/03/2014;23/03/2014,14A-092,-,-,-,-,0.048,0.039,-30.694,0.008,-,-,-,3.43E-05,-,-,-,-,-,-,-,-,-,-,-,-
G037.4266+01.5183,B,Point Source ~11'' to NE of p.c.,21/03/2014;23/03/2014,14A-092,18:54:14.24349,0.00148,04:41:40.8584,0.0014,0.048,0.039,-30.694,0.008,55,0.00352,8.274E-14,3.63E-05,0.01419,0.0004281,5.829E-05,0.0005105,0.000539,6.8E-05,<0.022,-,<0.019,-,-,-
G037.4266+01.5183,C,Non-detection,21/03/2014;23/03/2014,14A-092,-,-,-,-,0.048,0.039,-30.694,0.008,-,-,-,4.44E-05,-,-,-,-,-,-,-,-,-,-,-,-
G035.1979-00.7427,5,Source is 3'' to N of p.c.,21/03/2014;23/03/2014,14A-092,18:58:12.92939,0.00203,01:40:39.4783,0.00225,0.051,0.039,-25.509,0.008,43,0.002752,6.468E-14,3.51E-05,0.00772,0.0002184,3.393E-05,0.0002855,0.00022,4.6E-05,-,-,-,-,-,-
G035.1979-00.7427,6,Source is ~3.5'' to WSW of p.c.,21/03/2014;23/03/2014,14A-092,18:58:12.81348,0.00036,01:40:36.6614,0.00049,0.051,0.039,-25.509,0.008,116,0.007424,1.745E-13,3.51E-05,0.0711,0.002011,0.000187,0.001876,0.002121,7.1E-05,0.0199,0.0037,0.012,0.0041,158,30
G035.1979-00.7427,7,A.K.A. G35.2N 2'' SE of p.c.,21/03/2014;23/03/2014,14A-092,18:58:13.03567,0.0003,01:40:35.9903,0.00051,0.051,0.039,-25.509,0.008,145,0.00928,2.181E-13,3.51E-05,0.1003,0.002836,0.0002358,0.002327,0.002921,8.3E-06,0.0335,0.0025,0.0093,0.0045,166,4.6
G035.1979-00.7427,8,Source is ~2.5'' to the SE of p.c.,21/03/2014;23/03/2014,14A-092,18:58:13.04342,0.00096,01:40:35.3372,0.00131,0.051,0.039,-25.509,0.008,126,0.008064,1.895E-13,3.51E-05,0.03817,0.001079,9.681E-05,0.0007602,0.001157,7.9E-05,0.0396,0.0057,0.0293,0.0049,161,35
G035.1979-00.7427,Core A,Slightly offset (<<1'') to NE of p.c.,21/03/2014;23/03/2014,14A-092,18:58:12.95195,0.00076,01:40:37.4298,0.0008,0.051,0.039,-25.509,0.008,93,0.005952,1.399E-13,3.51E-05,0.03594,0.001016,0.0001058,0.0009652,0.001118,7.1E-05,<0.027,-,<0.015,-,-,-
G035.1979-00.7427,14,Non-detection,21/03/2014;23/03/2014,14A-092,-,-,-,-,0.051,0.039,-25.509,0.008,-,-,-,3.51E-05,-,-,-,-,-,-,-,-,-,-,-,-
G035.1979-00.7427,15,Non-detection,21/03/2014;23/03/2014,14A-092,-,-,-,-,0.051,0.039,-25.509,0.008,-,-,-,3.51E-05,-,-,-,-,-,-,-,-,-,-,-,-
G035.1979-00.7427,13,Non-detection,21/03/2014;23/03/2014,14A-092,-,-,-,-,0.051,0.039,-25.509,0.008,-,-,-,3.51E-05,-,-,-,-,-,-,-,-,-,-,-,-
G035.1979-00.7427,4,Non-detection,21/03/2014;23/03/2014,14A-092,-,-,-,-,0.051,0.039,-25.509,0.008,-,-,-,3.51E-05,-,-,-,-,-,-,-,-,-,-,-,-
G035.1979-00.7427,EX-S,Non-detection,21/03/2014;23/03/2014,14A-092,-,-,-,-,0.051,0.039,-25.509,0.008,-,-,-,3.51E-05,-,-,-,-,-,-,-,-,-,-,-,-
G035.1979-00.7427,EX-N,Non-detection,21/03/2014;23/03/2014,14A-092,-,-,-,-,0.051,0.039,-25.509,0.008,-,-,-,3.51E-05,-,-,-,-,-,-,-,-,-,-,-,-
G018.82-00.28,Core,HII region ~3'' to E of p.c.,21/03/2014;22/03/2014,14A-092,18:26:23.65700,0.005,-12:39:37.4000,0.005,0.072,0.038,-25.941,0.01,2179,0.2179,5.122E-12,5.7E-05,1.554,0.051,0.001096,0.002372,0.051,0.001096,0.577,0.0577,0.417,0.0417,116,10
G024.08+00.04,A,Resolved out emission ~3'' to E of p.c.,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.082,0.047,-26.744,0.01,-,-,-,2.86E-05,-,-,-,-,-,-,-,-,-,-,-,-
G024.08+00.04,B1,Non-detection,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.082,0.047,-26.744,0.01,-,-,-,2.86E-05,-,-,-,-,-,-,-,-,-,-,-,-
G024.08+00.04,B2,Non-detection,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.082,0.047,-26.744,0.01,-,-,-,2.86E-05,-,-,-,-,-,-,-,-,-,-,-,-
G024.08+00.04,B3,Non-detection,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.082,0.047,-26.744,0.01,-,-,-,2.86E-05,-,-,-,-,-,-,-,-,-,-,-,-
G024.08+00.04,B,Non-detection,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.082,0.047,-26.744,0.01,-,-,-,2.86E-05,-,-,-,-,-,-,-,-,-,-,-,-
G024.33+00.11,A,Source is 3” to E of p.c.,21/03/2014;22/03/2014,14A-092,18:35:08.13913,0.00438,-07:35:04.1218,0.00315,0.064,0.038,-25.77,0.01,118,0.0118,2.774E-13,3.73E-05,0.02586,0.0009316,8.699E-05,0.0005062,0.00118,0.00012,0.111,0.014,0.026,0.013,118.3,5
G024.33+00.11,B,Non-detection,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.064,0.038,-25.77,0.01,-,-,-,3.73E-05,-,-,-,-,-,-,-,-,-,-,-,-
G024.33+00.11,C,Source is 3'' to N of p.c.,21/03/2014;22/03/2014,14A-092,18:35:07.90342,0.00193,-07:35:01.1044,0.00437,0.064,0.038,-25.77,0.01,34,0.0034,7.992E-14,3.73E-05,0.00706,0.0002544,4.432E-05,0.0003404,0.000365,6.6E-05,0.0768,0.0111,0.0332,0.0021,158.2,2.7
G024.33+00.11,D,Not in FOV,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.064,0.038,-25.77,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G024.60+00.08,A,Non-detection,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.064,0.038,-25.413,0.01,-,-,-,3.52E-05,-,-,-,-,-,-,-,-,-,-,-,-
G024.60+00.08,B,Non-detection,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.064,0.038,-25.413,0.01,-,-,-,3.52E-05,-,-,-,-,-,-,-,-,-,-,-,-
G028.28-00.34,HII,R/O HII region with compact source in centre,21/03/2014;22/03/2014,14A-092,18:44:15.11025,0.00496,-04:17:55.3167,0.006,0.069,0.047,-19.756,0.01,482,0.0482,1.133E-12,4.08E-05,0.1543,0.004189,0.0001924,0.0007142,0.00517,0.00048,0.162,0.018,0.139,0.011,22,15
G028.28-00.34,A,Outside PB,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.069,0.047,-19.756,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G028.37+00.07,A,Coincident with C-band A,21/03/2014;22/03/2014,14A-092,18:42:51.97680,0.0217,-03:59:54.5324,0.0186,0.068,0.046,-21.197,0.015,20,0.0045,1.058E-13,3.11E-05,0.00283,0.0001797,4.113E-05,0.0002189,0.000666,0.000187,0.22,0.07,0.063,0.028,128.6,9.6
G028.37+00.07,A2,0.14'' NNE of A3,21/03/2014;22/03/2014,14A-092,18:42:51.98327,0.00291,-03:59:54.0469,0.00646,0.068,0.046,-21.197,0.015,24,0.0054,1.269E-13,3.11E-05,0.00369,0.0002342,4.878E-05,0.0002377,0.000255,5.9E-05,0.055,0.029,0.004,0.018,164,56
G028.37+00.07,A3,0.5'' to NNE of A,21/03/2014;22/03/2014,14A-092,18:42:51.98776,0.00533,-03:59:53.9141,0.00947,0.068,0.046,-21.197,0.015,92,0.0207,4.865E-13,3.11E-05,0.0143,0.0009078,9.652E-05,0.0002803,0.0012,0.00016,0.176,0.026,0.072,0.015,25,7.1
G028.37+00.07,B,Non-detection,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.068,0.046,-21.197,0.015,-,-,-,3.11E-05,-,-,-,-,-,-,-,-,-,-,-,-
G028.37+00.07,C,Non-detection,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.068,0.046,-21.197,0.015,-,-,-,3.11E-05,-,-,-,-,-,-,-,-,-,-,-,-
G028.37+00.07,D,Outside PB,21/03/2014;22/03/2014,14A-092,-,-,-,-,0.068,0.046,-21.197,0.015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
